,ari,sim_W,sim_W_null,tuning_metric,run,split,sim_id,job_id,sim_H_G,sim_H_G_null,sim_U_G,sim_U_G_null,sim_H_C,sim_H_C_null,sim_U_C,sim_U_C_null,rel_error_G,rel_error_C,coph_corr,run_name,lambda_option,signed_cov_effects,out_path
154,0.010185688877934819,0.3799217891998712,0.36674184536792187,1.4270312877380529,44,tune,0,9,0.06334914177128033,0.07470496271476822,0.4489113315863833,0.08808324170428028,0.01597234829288464,0.10308979338283607,0.5099181544100383,-0.06018909794553812,1.1496422640413217,0.27738902369673124,0.743652115494673,SCoNE,0.01,True,/home/jupyter/repos/SCoNE/output/models/signed_cov_effects/tune_9
155,0.14026764904488298,0.06520993103119602,0.05843692618939508,1.1623633749814037,45,tune,0,9,0.16359279005592836,0.16997947960369117,0.4460291538162355,0.07488187836027141,0.0,0.11597033666833796,0.4901656603631843,-0.01961687410628436,0.8677370774244679,0.29462629755693587,0.743652115494673,SCoNE,0.01,True,/home/jupyter/repos/SCoNE/output/models/signed_cov_effects/tune_9
156,0.0060630412230894635,0.28461316810121384,0.2661857306629983,1.4511928426163712,46,tune,0,9,0.0150383193743666,0.10877531818011642,0.48287398236670215,0.07758687637240533,0.016489887405542993,0.05768882827773242,0.45826559540941314,-0.05985143132153241,1.0773048829899325,0.37388795962643856,0.743652115494673,SCoNE,0.01,True,/home/jupyter/repos/SCoNE/output/models/signed_cov_effects/tune_9
157,0.01932535700517916,0.4034934735618458,0.34621474229902405,1.2518404511563452,47,tune,0,9,0.16394846528066864,0.1739282252823002,0.4565690496831045,0.06576112028337901,0.02246169305513795,0.15865710955197623,0.5111857280611892,-0.04810842438096155,0.9176246590755449,0.3342157920808003,0.743652115494673,SCoNE,0.01,True,/home/jupyter/repos/SCoNE/output/models/signed_cov_effects/tune_9
158,-4.159690170934378e-06,0.035266239872411335,0.0352662246429414,3.5034521156668124,48,tune,0,9,0.01359303753893966,0.04356699009112637,0.4259859101600993,0.0762425317655491,0.2220519615592794,0.23129159242212627,0.36242226010758,-0.06385764740194674,1.8027108812873922,1.7007412343794202,0.743652115494673,SCoNE,0.01,True,/home/jupyter/repos/SCoNE/output/models/signed_cov_effects/tune_9
159,0.05568244817579117,0.3141522971489252,0.2511773873182265,1.21061872721212,49,tune,0,9,0.286869032207816,0.19076985857025935,0.4810545377890338,0.07524022816534419,0.17948124662429984,0.1793201689837288,0.5694068301410066,-0.058264714529306615,0.9096205929528975,0.30099813425922256,0.743652115494673,SCoNE,0.01,True,/home/jupyter/repos/SCoNE/output/models/signed_cov_effects/tune_9
160,0.005743626256277861,0.21386508994301592,0.2000915602617771,1.277226908850062,0,tune,0,8,0.0780730170643178,0.07686917158425682,0.46215942551252703,0.05988547239149081,0.025185839597664194,0.0978077706367115,0.534382872494516,-0.06963364078002819,0.9925005364725747,0.2847263723774874,0.7608097506153836,SCoNE,0.001,True,/home/jupyter/repos/SCoNE/output/models/signed_cov_effects/tune_8
161,-7.826948701094141e-05,0.1381000332165936,0.13038709447089522,2.0069913141938427,1,tune,0,8,0.22346292321177733,0.27339796428504903,0.44799748036039116,0.06617957310291184,0.12226166637143851,0.1843154533851372,0.45548699247099483,-0.05652861832731494,0.8524532270732079,1.154538087120635,0.7608097506153836,SCoNE,0.001,True,/home/jupyter/repos/SCoNE/output/models/signed_cov_effects/tune_8
162,0.002363809390020966,0.22156753524302314,0.2025066957291552,1.3625878338139763,2,tune,0,8,0.09244587663340566,0.1545254464410734,0.44009436730542134,0.08936286737980556,0.03355841350058892,0.19381771092503983,0.512134657648708,-0.06823476750107309,1.0653738043632377,0.29721402945073866,0.7608097506153836,SCoNE,0.001,True,/home/jupyter/repos/SCoNE/output/models/signed_cov_effects/tune_8
163,0.014753427426574905,0.08734531903023972,0.07976852497711522,1.166683072082913,3,tune,0,8,0.17954027474919793,0.2032634315449367,0.4301667698355115,0.043421772497686036,0.008372621667468579,0.13367908911623128,0.5422553066717446,-0.07437848942913003,0.90519560014818,0.26148747193473315,0.7608097506153836,SCoNE,0.001,True,/home/jupyter/repos/SCoNE/output/models/signed_cov_effects/tune_8
